DV,Factor,group1,group2,meandiff,p-adj,lower,upper,reject
fnr_diff,min_level within 80/20,100,50,-0.0007,1.0,-0.0407,0.0394,False
fnr_diff,min_level within 80/20,100,75,0.009,0.9371,-0.031,0.0491,False
fnr_diff,min_level within 80/20,25,50,-0.0057,0.9827,-0.0458,0.0343,False
fnr_diff,min_level within 80/20,25,75,0.004,0.9941,-0.0361,0.044,False
fnr_diff,min_level within 80/20,50,75,0.0097,0.9237,-0.0304,0.0497,False
fnr_diff,min_level within 90/10,100,25,-0.0198,0.5007,-0.0564,0.0168,False
fnr_diff,min_level within 90/10,100,50,-0.0137,0.7672,-0.0503,0.0229,False
fnr_diff,min_level within 90/10,100,75,-0.0049,0.9858,-0.0415,0.0317,False
fnr_diff,min_level within 90/10,25,50,0.0061,0.9731,-0.0305,0.0427,False
fnr_diff,min_level within 90/10,25,75,0.0149,0.7174,-0.0217,0.0515,False
fnr_diff,min_level within 90/10,50,75,0.0088,0.9244,-0.0278,0.0455,False
fnr_diff,min_level within 95/5,100,25,-0.0304,0.1033,-0.0648,0.004,False
fnr_diff,min_level within 95/5,100,50,0.0074,0.9437,-0.0269,0.0418,False
fnr_diff,min_level within 95/5,100,75,0.0062,0.9658,-0.0282,0.0406,False
fnr_diff,min_level within 95/5,25,50,0.0379,0.0244,0.0035,0.0723,True
fnr_diff,min_level within 95/5,25,75,0.0367,0.0316,0.0023,0.0711,True
fnr_diff,min_level within 95/5,50,75,-0.0012,0.9997,-0.0356,0.0332,False
