"Name","State","dataset","classifier","imbalance","min_level","min_type","seed","accuracy","minority_recall","mcc"
"health-xgboost-50/50-horizontal75-s22","finished","health","xgboost","50/50","75","horizontal","22","0.6195555555555555","0.6052163604030824","0.2392014200375842"
"health-xgboost-50/50-horizontal75-s11","finished","health","xgboost","50/50","75","horizontal","11","0.6042654028436019","0.6072274881516587","0.20853446506098883"
"health-xgboost-50/50-vertical100-s55","finished","health","xgboost","50/50","100","vertical","55","0.6102222222222222","0.6026666666666667","0.22046961752382505"
"health-xgboost-50/50-vertical100-s44","finished","health","xgboost","50/50","100","vertical","44","0.614","0.5933333333333334","0.22819501257838912"
"health-xgboost-50/50-vertical100-s33","finished","health","xgboost","50/50","100","vertical","33","0.6073333333333333","0.6186666666666667","0.21472183340664233"
"health-xgboost-50/50-vertical100-s22","finished","health","xgboost","50/50","100","vertical","22","0.6228888888888889","0.6226666666666667","0.24577780205212985"
"health-xgboost-50/50-vertical100-s11","finished","health","xgboost","50/50","100","vertical","11","0.618","0.5924444444444444","0.2363088620628888"
"health-xgboost-50/50-horizontal100-s55","finished","health","xgboost","50/50","100","horizontal","55","0.6102222222222222","0.6026666666666667","0.22046961752382505"
"health-xgboost-50/50-horizontal100-s44","finished","health","xgboost","50/50","100","horizontal","44","0.614","0.5933333333333334","0.22819501257838912"
"health-xgboost-50/50-horizontal100-s33","finished","health","xgboost","50/50","100","horizontal","33","0.6073333333333333","0.6186666666666667","0.21472183340664233"
"health-xgboost-50/50-horizontal100-s22","finished","health","xgboost","50/50","100","horizontal","22","0.6228888888888889","0.6226666666666667","0.24577780205212985"
"health-xgboost-50/50-horizontal100-s11","finished","health","xgboost","50/50","100","horizontal","11","0.618","0.5924444444444444","0.2363088620628888"
"health-xgboost-95/5-vertical25-s11","finished","health","xgboost","95/5","25","vertical","11","0.9484444444444444","0.022222222222222223","0.0689751195328362"
"health-xgboost-90/10-vertical25-s55","finished","health","xgboost","90/10","25","vertical","55","0.8951111111111111","0.02666666666666667","0.05449497313526415"
"health-xgboost-90/10-vertical25-s44","finished","health","xgboost","90/10","25","vertical","44","0.894","0.057777777777777775","0.10209007363267351"
"health-xgboost-90/10-vertical25-s11","finished","health","xgboost","90/10","25","vertical","11","0.8933333333333333","0.03333333333333333","0.05812381937190964"
"health-xgboost-80/20-vertical25-s55","finished","health","xgboost","80/20","25","vertical","55","0.7873333333333333","0.11222222222222222","0.11736026816001556"
"health-xgboost-80/20-vertical25-s44","finished","health","xgboost","80/20","25","vertical","44","0.7811111111111111","0.11555555555555556","0.10222939611188428"
"health-xgboost-80/20-vertical25-s22","finished","health","xgboost","80/20","25","vertical","22","0.7946666666666666","0.15444444444444444","0.1745170511881029"
"health-xgboost-80/20-vertical25-s11","finished","health","xgboost","80/20","25","vertical","11","0.7926666666666666","0.11666666666666668","0.1386322113360514"
"health-xgboost-50/50-vertical25-s44","finished","health","xgboost","50/50","25","vertical","44","0.618","0.6026666666666667","0.23611105077840164"
"health-xgboost-50/50-vertical25-s55","finished","health","xgboost","50/50","25","vertical","55","0.6024444444444444","0.5866666666666667","0.20499097450601167"
"health-xgboost-50/50-vertical25-s33","finished","health","xgboost","50/50","25","vertical","33","0.6155555555555555","0.6231111111111111","0.23113750224271976"
"health-xgboost-50/50-vertical25-s22","finished","health","xgboost","50/50","25","vertical","22","0.61","0.5902222222222222","0.2201723128496076"
"health-xgboost-50/50-vertical25-s11","finished","health","xgboost","50/50","25","vertical","11","0.6086666666666667","0.5951111111111111","0.2174132487316998"
"health-random_forest-95/5-vertical25-s55","finished","health","random_forest","95/5","25","vertical","55","0.9504444444444444","0.013333333333333334","0.095800567023728"
"health-random_forest-95/5-vertical25-s44","finished","health","random_forest","95/5","25","vertical","44","0.9497777777777778","0","-0.0034203078956098285"
"health-random_forest-95/5-vertical25-s33","finished","health","random_forest","95/5","25","vertical","33","0.95","0","0"
