dataset,classifier,imbalance,min_level,min_type,seed,accuracy,minority_recall,macro_f1,balanced_accuracy,mcc,equal_opportunity_diff,fnr_diff,n_test,n_female_pos_test,status,run_id,runtime_sec,exported_at
adult,logistic_regression,90/10,100,horizontal,22,0.9171111111111112,0.2977777777777777,0.6867370806807389,0.6418518518518518,0.4221762941006466,-0.2490014835102134,0.2490014835102134,4500,69,ok,81,31.1,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,horizontal,33,0.9226666666666666,0.3577777777777777,0.7194101521205497,0.671604938271605,0.4774856461139735,-0.0885566417481311,0.0885566417481311,4500,74,ok,82,31.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,horizontal,44,0.9188888888888888,0.3577777777777777,0.7123986894835626,0.6695061728395062,0.4553207506752341,-0.0182769521456342,0.0182769521456341,4500,73,ok,83,31.8,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,horizontal,55,0.9177777777777778,0.34,0.7041064690678411,0.6609876543209877,0.4422673286608198,-0.1321022727272727,0.1321022727272727,4500,66,ok,84,32.2,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,vertical,11,0.9162222222222224,0.3488888888888889,0.7045207026224245,0.664074074074074,0.437261645618687,-0.1602746212121212,0.1602746212121211,4500,66,ok,85,32.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,vertical,22,0.9171111111111112,0.2977777777777777,0.6867370806807389,0.6418518518518518,0.4221762941006466,-0.2490014835102134,0.2490014835102134,4500,69,ok,86,32.8,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,vertical,33,0.9226666666666666,0.3577777777777777,0.7194101521205497,0.671604938271605,0.4774856461139735,-0.0885566417481311,0.0885566417481311,4500,74,ok,87,33.2,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,vertical,44,0.9188888888888888,0.3577777777777777,0.7123986894835626,0.6695061728395062,0.4553207506752341,-0.0182769521456342,0.0182769521456341,4500,73,ok,88,33.5,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,100,vertical,55,0.9177777777777778,0.34,0.7041064690678411,0.6609876543209877,0.4422673286608198,-0.1321022727272727,0.1321022727272727,4500,66,ok,89,33.9,2026-07-14T14:34:29.463399
adult,logistic_regression,90/10,75,horizontal,11,0.9241481481481482,0.3531157270029673,0.7204303302028433,0.6703037489524383,0.4848642826079403,-0.1266298185941043,0.1266298185941042,3375,49,ok,90,34.2,2026-07-14T14:34:29.463399
