dataset,classifier,imbalance,min_level,min_type,seed,run_id
adult,random_forest,90/10,25,vertical,11,275
adult,random_forest,90/10,25,vertical,22,276
adult,random_forest,90/10,25,vertical,33,277
adult,random_forest,90/10,25,vertical,44,278
adult,random_forest,90/10,25,vertical,55,279
adult,random_forest,95/5,100,horizontal,11,280
adult,random_forest,95/5,100,horizontal,22,281
adult,random_forest,95/5,100,horizontal,33,282
adult,random_forest,95/5,100,horizontal,44,283
adult,random_forest,95/5,100,horizontal,55,284
adult,random_forest,95/5,100,vertical,11,285
adult,random_forest,95/5,100,vertical,22,286
adult,random_forest,95/5,100,vertical,33,287
adult,random_forest,95/5,100,vertical,44,288
adult,random_forest,95/5,100,vertical,55,289
adult,random_forest,95/5,75,horizontal,11,290
adult,random_forest,95/5,75,horizontal,22,291
adult,random_forest,95/5,75,horizontal,33,292
adult,random_forest,95/5,75,horizontal,44,293
adult,random_forest,95/5,75,horizontal,55,294
adult,random_forest,95/5,75,vertical,11,295
adult,random_forest,95/5,75,vertical,22,296
adult,random_forest,95/5,75,vertical,33,297
adult,random_forest,95/5,75,vertical,44,298
adult,random_forest,95/5,75,vertical,55,299
adult,random_forest,95/5,50,horizontal,11,300
adult,random_forest,95/5,50,horizontal,22,301
adult,random_forest,95/5,50,horizontal,33,302
adult,random_forest,95/5,50,horizontal,44,303
adult,random_forest,95/5,50,horizontal,55,304
adult,random_forest,95/5,50,vertical,11,305
adult,random_forest,95/5,50,vertical,22,306
adult,random_forest,95/5,50,vertical,33,307
adult,random_forest,95/5,50,vertical,44,308
adult,random_forest,95/5,50,vertical,55,309
adult,random_forest,95/5,25,horizontal,11,310
adult,random_forest,95/5,25,horizontal,22,311
adult,random_forest,95/5,25,horizontal,33,312
adult,random_forest,95/5,25,horizontal,44,313
adult,random_forest,95/5,25,horizontal,55,314
adult,random_forest,95/5,25,vertical,11,315
adult,random_forest,95/5,25,vertical,22,316
adult,random_forest,95/5,25,vertical,33,317
adult,random_forest,95/5,25,vertical,44,318
adult,random_forest,95/5,25,vertical,55,319
adult,xgboost,50/50,100,horizontal,11,320
adult,xgboost,50/50,100,horizontal,22,321
adult,xgboost,50/50,100,horizontal,33,322
adult,xgboost,50/50,100,horizontal,44,323
adult,xgboost,50/50,100,horizontal,55,324
adult,xgboost,50/50,100,vertical,11,325
adult,xgboost,50/50,100,vertical,22,326
adult,xgboost,50/50,100,vertical,33,327
adult,xgboost,50/50,100,vertical,44,328
adult,xgboost,50/50,100,vertical,55,329
adult,xgboost,50/50,75,horizontal,11,330
adult,xgboost,50/50,75,horizontal,22,331
adult,xgboost,50/50,75,horizontal,33,332
adult,xgboost,50/50,75,horizontal,44,333
adult,xgboost,50/50,75,horizontal,55,334
adult,xgboost,50/50,75,vertical,11,335
adult,xgboost,50/50,75,vertical,22,336
adult,xgboost,50/50,75,vertical,33,337
adult,xgboost,50/50,75,vertical,44,338
adult,xgboost,50/50,75,vertical,55,339
adult,xgboost,50/50,50,horizontal,11,340
adult,xgboost,50/50,50,horizontal,22,341
adult,xgboost,50/50,50,horizontal,33,342
adult,xgboost,50/50,50,horizontal,44,343
adult,xgboost,50/50,50,horizontal,55,344
adult,xgboost,50/50,50,vertical,11,345
adult,xgboost,50/50,50,vertical,22,346
adult,xgboost,50/50,50,vertical,33,347
adult,xgboost,50/50,50,vertical,44,348
adult,xgboost,50/50,50,vertical,55,349
adult,xgboost,50/50,25,horizontal,11,350
adult,xgboost,50/50,25,horizontal,22,351
adult,xgboost,50/50,25,horizontal,33,352
adult,xgboost,50/50,25,horizontal,44,353
adult,xgboost,50/50,25,horizontal,55,354
adult,xgboost,50/50,25,vertical,11,355
adult,xgboost,50/50,25,vertical,22,356
adult,xgboost,50/50,25,vertical,33,357
adult,xgboost,50/50,25,vertical,44,358
adult,xgboost,50/50,25,vertical,55,359
adult,xgboost,80/20,100,horizontal,11,360
adult,xgboost,80/20,100,horizontal,22,361
adult,xgboost,80/20,100,horizontal,33,362
adult,xgboost,80/20,100,horizontal,44,363
adult,xgboost,80/20,100,horizontal,55,364
adult,xgboost,80/20,100,vertical,11,365
adult,xgboost,80/20,100,vertical,22,366
adult,xgboost,80/20,100,vertical,33,367
adult,xgboost,80/20,100,vertical,44,368
adult,xgboost,80/20,100,vertical,55,369
adult,xgboost,80/20,75,horizontal,11,370
adult,xgboost,80/20,75,horizontal,22,371
adult,xgboost,80/20,75,horizontal,33,372
adult,xgboost,80/20,75,horizontal,44,373
adult,xgboost,80/20,75,horizontal,55,374
adult,xgboost,80/20,75,vertical,11,375
adult,xgboost,80/20,75,vertical,22,376
adult,xgboost,80/20,75,vertical,33,377
adult,xgboost,80/20,75,vertical,44,378
adult,xgboost,80/20,75,vertical,55,379
adult,xgboost,80/20,50,horizontal,11,380
adult,xgboost,80/20,50,horizontal,22,381
adult,xgboost,80/20,50,horizontal,33,382
adult,xgboost,80/20,50,horizontal,44,383
adult,xgboost,80/20,50,horizontal,55,384
adult,xgboost,80/20,50,vertical,11,385
adult,xgboost,80/20,50,vertical,22,386
adult,xgboost,80/20,50,vertical,33,387
adult,xgboost,80/20,50,vertical,44,388
adult,xgboost,80/20,50,vertical,55,389
adult,xgboost,80/20,25,horizontal,11,390
adult,xgboost,80/20,25,horizontal,22,391
adult,xgboost,80/20,25,horizontal,33,392
adult,xgboost,80/20,25,horizontal,44,393
adult,xgboost,80/20,25,horizontal,55,394
adult,xgboost,80/20,25,vertical,11,395
adult,xgboost,80/20,25,vertical,22,396
adult,xgboost,80/20,25,vertical,33,397
adult,xgboost,80/20,25,vertical,44,398
adult,xgboost,80/20,25,vertical,55,399
adult,xgboost,90/10,100,horizontal,11,400
adult,xgboost,90/10,100,horizontal,22,401
adult,xgboost,90/10,100,horizontal,33,402
adult,xgboost,90/10,100,horizontal,44,403
adult,xgboost,90/10,100,horizontal,55,404
adult,xgboost,90/10,100,vertical,11,405
adult,xgboost,90/10,100,vertical,22,406
adult,xgboost,90/10,100,vertical,33,407
adult,xgboost,90/10,100,vertical,44,408
adult,xgboost,90/10,100,vertical,55,409
adult,xgboost,90/10,75,horizontal,11,410
adult,xgboost,90/10,75,horizontal,22,411
adult,xgboost,90/10,75,horizontal,33,412
adult,xgboost,90/10,75,horizontal,44,413
adult,xgboost,90/10,75,horizontal,55,414
adult,xgboost,90/10,75,vertical,11,415
adult,xgboost,90/10,75,vertical,22,416
adult,xgboost,90/10,75,vertical,33,417
adult,xgboost,90/10,75,vertical,44,418
adult,xgboost,90/10,75,vertical,55,419
adult,xgboost,90/10,50,horizontal,11,420
adult,xgboost,90/10,50,horizontal,22,421
adult,xgboost,90/10,50,horizontal,33,422
adult,xgboost,90/10,50,horizontal,44,423
